FeatName	RelFeatImp
sphingosine 1-phosphate	100.0
3-methylhistidine	98.59
beta-cryptoxanthin	95.59
indolepropionate	94.31
ascorbic acid 2-sulfate	93.21
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	91.88
fructose	90.94
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	90.7
phenyllactate (PLA)	89.58
1,5-anhydroglucitol (1,5-AG)	89.03
carotene diol (1)	88.69
5,6-dihydrothymine	88.25
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	88.07
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	87.63
creatine	86.5
ribulonate/xylulonate/lyxonate*	86.21
cysteinylglycine	85.98
1-oleoylglycerol (18:1)	85.92
3-(4-hydroxyphenyl)lactate (HPLA)	85.82
2'-O-methyluridine	85.44
tyrosine	85.27
branched chain 14:0 dicarboxylic acid	85.26
alpha-ketoglutarate	85.24
N-acetylneuraminate	85.07
deoxycholic acid glucuronide	85.03
3-hydroxy-3-methylglutarate	84.92
threonate	84.6
tryptophan	83.89
glycocholenate sulfate*	83.62
4-hydroxyphenylacetate	83.55
indoleacetate	83.45
7-HOCA	83.44
inosine	83.19
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	83.02
beta-hydroxyisovalerate	83.01
homoarginine	82.96
5alpha-androstan-3beta,17alpha-diol disulfate	82.82
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	82.64
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	81.64
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	81.41
N-acetylaspartate (NAA)	80.94
5-methyluridine (ribothymidine)	80.89
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	80.7
undecanedioate (C11-DC)	80.22
isoursodeoxycholate	80.08
glutamine	80.03
carotene diol (2)	79.76
hypoxanthine	79.67
arachidonoylcarnitine (C20:4)	79.51
1,2-dilinoleoyl-GPC (18:2/18:2)	79.39
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	79.38
isovalerate (C5)	79.35
octadecadienedioate (C18:2-DC)*	79.32
caproate (6:0)	79.28
undecenoylcarnitine (C11:1)	79.2
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	79.13
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	79.1
cysteine	78.95
caprylate (8:0)	78.81
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	78.78
1-arachidonoyl-GPC* (20:4)*	78.42
alpha-ketobutyrate	78.37
1-(1-enyl-oleoyl)-GPE (P-18:1)*	78.13
cis-3,4-methyleneheptanoate	78.0
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	77.79
1,2-dipalmitoyl-GPC (16:0/16:0)	77.53
pentose acid*	77.35
xanthine	77.33
glycochenodeoxycholate glucuronide (1)	76.82
methionine	76.77
gamma-tocopherol/beta-tocopherol	76.69
histidine	76.66
3-methoxytyramine sulfate	76.65
5alpha-androstan-3alpha,17beta-diol disulfate	76.56
butyrylcarnitine (C4)	76.49
3-hydroxyadipate*	76.23
valine	76.17
3-indoxyl sulfate	76.12
1-linoleoylglycerol (18:2)	76.06
1-linolenoyl-GPC (18:3)*	75.98
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	75.88
citrulline	75.72
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	75.65
pyruvate	75.63
pipecolate	75.6
random_variable1	75.49
gamma-CEHC	75.36
1-linoleoyl-GPI* (18:2)*	75.34
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	75.15
1-lignoceroyl-GPC (24:0)	75.14
indolelactate	74.72
linoleoylcarnitine (C18:2)*	74.71
1-carboxyethylleucine	74.57
maleate	74.51
glutarate (C5-DC)	74.2
choline	74.18
glycerate	74.14
lysine	74.0
3-methylglutaconate	73.83
N-delta-acetylornithine	73.76
undecanoate (11:0)	73.73
pelargonate (9:0)	73.46
N-formylphenylalanine	73.31
etiocholanolone glucuronide	73.03
6-bromotryptophan	72.93
2S,3R-dihydroxybutyrate	72.85
isoleucylglycine	72.84
alpha-hydroxyisovalerate	72.72
cis-4-decenoate (10:1n6)*	72.71
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	72.7
docosadioate (C22-DC)	72.65
N2-acetyl,N6,N6-dimethyllysine	72.62
glycoursodeoxycholate	72.59
pregnanediol-3-glucuronide	72.58
butyrate/isobutyrate (4:0)	72.52
taurochenodeoxycholic acid 3-sulfate	72.35
3b-hydroxy-5-cholenoic acid	72.22
13-HODE + 9-HODE	72.06
hexadecenedioate (C16:1-DC)*	72.0
eicosenedioate (C20:1-DC)*	71.9
S-1-pyrroline-5-carboxylate	71.81
2-hydroxyglutarate	71.75
FAD	71.62
guanidinoacetate	71.42
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	71.4
11beta-hydroxyandrosterone glucuronide	71.28
uracil	71.22
S-methylcysteine	71.2
azelate (C9-DC)	70.96
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	70.87
allantoin	70.75
pantothenate (Vitamin B5)	70.53
sarcosine	70.37
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	70.33
oxalate (ethanedioate)	70.21
N-acetylasparagine	70.21
acisoga	70.2
16a-hydroxy DHEA 3-sulfate	70.15
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	70.08
pregnen-diol disulfate*	69.98
methylsuccinate	69.96
N-acetyltyrosine	69.69
pyroglutamine*	69.65
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	69.54
dopamine 3-O-sulfate	69.4
phenylalanine	69.08
N-acetyl-beta-alanine	68.96
1-methylnicotinamide	68.87
glycochenodeoxycholate	68.82
3-ureidopropionate	68.47
propionylglycine (C3)	68.44
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	68.28
cortisone	68.2
eicosanedioate (C20-DC)	68.16
2-ketocaprylate	68.09
arginine	67.99
cis-3,4-methyleneheptanoylglycine	67.64
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	67.54
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	67.53
behenoyl sphingomyelin (d18:1/22:0)*	67.46
2-hydroxybutyrate/2-hydroxyisobutyrate	67.45
adrenate (22:4n6)	67.28
2-hydroxyphytanate*	66.98
cholate	66.76
1-oleoyl-GPI (18:1)	66.71
valylglycine	66.51
phenylpyruvate	66.46
2-aminoheptanoate	66.44
glycochenodeoxycholate 3-sulfate	66.23
linolenoylcarnitine (C18:3)*	66.21
1-stearoyl-GPC (18:0)	66.2
3-hydroxyoleate*	66.11
cysteine s-sulfate	65.93
ursodeoxycholate	65.76
retinol (Vitamin A)	65.7
cys-gly, oxidized	65.68
12,13-DiHOME	65.6
N-acetylcarnosine	65.57
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	65.46
isobutyrylcarnitine (C4)	65.46
thyroxine	65.4
pyridoxate	65.26
glutamine conjugate of C6H10O2 (2)*	65.07
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	64.97
biliverdin	64.88
3beta-hydroxy-5-cholestenoate	64.87
4-oxo-retinoic acid	64.79
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	64.68
hyocholate	64.64
5-methylthioadenosine (MTA)	64.53
urate	64.53
mannose	64.41
4-cholesten-3-one	64.37
ascorbic acid 3-sulfate*	64.35
trans-urocanate	64.28
deoxycarnitine	64.02
androstenediol (3alpha, 17alpha) monosulfate (3)	63.97
5-hydroxylysine	63.93
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	63.88
alpha-hydroxyisocaproate	63.81
dimethylarginine (ADMA + SDMA)	63.74
1-palmitoyl-GPG (16:0)*	63.66
urea	63.61
2-hydroxy-3-methylvalerate	63.61
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	63.59
1-linoleoyl-GPE (18:2)*	63.59
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	63.58
2,3-dihydroxy-2-methylbutyrate	63.46
1-palmitoyl-GPA (16:0)	63.42
N1-Methyl-2-pyridone-5-carboxamide	63.32
phenol sulfate	63.3
gamma-glutamyltryptophan	63.29
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	63.29
serotonin	63.22
3-methyl-2-oxobutyrate	63.16
glycerol	63.08
sphingomyelin (d18:1/24:1, d18:2/24:0)*	62.98
androstenediol (3alpha, 17alpha) monosulfate (2)	62.97
N-acetylglycine	62.97
bilirubin (E,E)*	62.97
21-hydroxypregnenolone disulfate	62.84
6-oxopiperidine-2-carboxylate	62.8
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	62.78
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	62.69
ribitol	62.63
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	62.61
5alpha-androstan-3beta,17beta-diol disulfate	62.59
1-linoleoyl-GPC (18:2)	62.58
serine	62.55
2-hydroxyoctanoate	62.2
dopamine 4-sulfate	62.0
arabonate/xylonate	61.99
gentisate	61.97
isoleucine	61.94
N-acetyl-2-aminooctanoate*	61.82
5alpha-androstan-3alpha,17alpha-diol monosulfate	61.78
behenoyl dihydrosphingomyelin (d18:0/22:0)*	61.76
cysteinylglycine disulfide*	61.73
hypotaurine	61.69
prolylhydroxyproline	61.65
decadienedioic acid (C10:2-DC)	61.53
kynurenate	61.53
arachidate (20:0)	61.51
N-acetylmethionine	61.51
glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	61.34
5-dodecenoylcarnitine (C12:1)	61.31
1-linoleoyl-GPG (18:2)*	61.3
10-undecenoate (11:1n1)	61.24
2-hydroxydecanoate	60.91
(N(1) + N(8))-acetylspermidine	60.88
dodecadienoate (12:2)*	60.81
N-formylanthranilic acid	60.8
tetradecadienedioate (C14:2-DC)*	60.79
sphingomyelin (d18:2/24:2)*	60.62
sedoheptulose	60.51
gamma-glutamylglutamine	60.41
sphingomyelin (d18:1/20:1, d18:2/20:0)*	60.36
gamma-glutamylleucine	60.29
indoleacetylglutamine	60.27
tyramine O-sulfate	60.24
cis-3,4-methyleneheptanoylcarnitine	60.15
N6,N6,N6-trimethyllysine	60.09
arabinose	60.06
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	60.04
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	60.02
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	60.0
N-palmitoyl-sphingadienine (d18:2/16:0)*	59.95
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	59.95
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	59.94
taurocholenate sulfate*	59.93
gamma-glutamylphenylalanine	59.84
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	59.82
2-hydroxystearate	59.79
isovalerylglycine	59.76
threonine	59.66
tryptophan betaine	59.57
cholesterol	59.51
androstenediol (3beta,17beta) disulfate (2)	59.43
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	59.37
ximenoylcarnitine (C26:1)*	59.36
phosphoethanolamine (PE)	59.34
3-methoxytyrosine	59.33
2-hydroxypalmitate	59.29
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	59.26
taurolithocholate 3-sulfate	59.15
hydroxy-CMPF*	59.1
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	59.09
pregnanolone/allopregnanolone sulfate	59.07
3-phosphoglycerate	59.07
3,4-dihydroxybutyrate	59.06
alpha-tocopherol	59.05
3-hydroxyoctanoylcarnitine (1)	58.96
mannitol/sorbitol	58.93
ornithine	58.83
p-cresol glucuronide*	58.73
GlcNAc sulfate conjugate of C21H34O2 steroid	58.71
1-oleoyl-GPC (18:1)	58.51
N-acetylglutamine	58.48
isovalerylcarnitine (C5)	58.45
galactonate	58.35
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	58.23
betaine	58.18
N6-carboxymethyllysine	58.14
sucrose	57.96
N-methylproline	57.92
trimethylamine N-oxide	57.86
5,6-dihydrouracil	57.8
sphingomyelin (d18:1/20:0, d16:1/22:0)*	57.71
dihomo-linoleoylcarnitine (C20:2)*	57.69
cortolone glucuronide (1)	57.62
sphingomyelin (d18:2/24:1, d18:1/24:2)*	57.61
pregnenolone sulfate	57.41
1-palmitoleoyl-GPC* (16:1)*	57.35
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	57.34
gulonate*	57.32
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	57.28
xanthurenate	57.23
5-oxoproline	57.21
bilirubin (E,Z or Z,E)*	57.11
