"group","ev"
"1","SBP",4.4
"2","SBP",0
"3","SBP",0
"4","SBP",0
"5","SBP",0
"6","SBP",0
"7","SBP",4.49
"8","SBP",3.47
"9","SBP",3.23
"10","SBP",0
"11","SBP",0
"12","SBP",0
"13","SBP",0
"14","SBP",0
"15","SBP",0
"16","SBP",0
"17","SBP",0
"18","SBP",0
"19","SBP",0
"20","SBP",0
"21","DBP",0
"22","DBP",0
"23","DBP",0
"24","DBP",2.03
"25","DBP",0
"26","DBP",0
"27","DBP",0
"28","DBP",0
"29","DBP",2.99
"30","HRV",0
"31","HRV",0
"32","HRV",5.74
"33","HRV",0
"34","HRV",0
"35","HRV",0
"36","HRV",14.2
"37","HRV",2.99
"38","HRV",0
"39","HRV",2.74
