"";"Overall";"Female";"Male";"p";"test"
"n";"    76";"    41";"    35";"";""
"Age (mean (SD))";" 45.09 (7.86)";" 44.24 (7.87)";" 46.09 (7.84)";" 0.312";""
"Age_cat = Young (%)";"    58 (76.3) ";"    35 (85.4) ";"    23 ( 65.7) ";" 0.082";""
"Sex = Male (%)";"    35 (46.1) ";"     0 ( 0.0) ";"    35 (100.0) ";"<0.001";""
"EthnAfr = Non-African (%)";"    18 (23.7) ";"    10 (24.4) ";"     8 ( 22.9) ";" 1.000";""
"BMI (mean (SD))";" 28.18 (5.42)";" 29.42 (6.28)";" 26.73 (3.80)";" 0.031";""
"CurrSmoking = Yes (%)";"    12 (15.8) ";"     3 ( 7.3) ";"     9 ( 25.7) ";" 0.061";""
"CVD = Ja (%)";"     9 (12.2) ";"     7 (17.5) ";"     2 (  5.9) ";" 0.243";""
"DM = Diabetes (%)";"     3 ( 3.9) ";"     2 ( 4.9) ";"     1 (  2.9) ";" 1.000";""
"HT = Ja (%)";"    38 (50.0) ";"    15 (36.6) ";"    23 ( 65.7) ";" 0.021";""
"AntiHT = Ja (%)";"    11 (14.5) ";"     4 ( 9.8) ";"     7 ( 20.0) ";" 0.348";""
"SBP (mean (SD))";"133.57 (18.68)";"130.40 (20.84)";"137.27 (15.25)";" 0.111";""
"DBP (mean (SD))";" 83.95 (11.31)";" 80.26 (11.49)";" 88.27 (9.54)";" 0.002";""
"BRS (mean (SD))";" 13.55 (6.96)";" 14.53 (8.06)";" 12.40 (5.29)";" 0.186";""
"MDRD (mean (SD))";"102.88 (19.68)";"107.34 (19.26)";" 97.67 (19.12)";" 0.032";""
"ACR_KDIGO = A2 Moderately increased (ACR 3-30 mg/mmol) (%)";"    29 (38.2) ";"    18 (43.9) ";"    11 ( 31.4) ";" 0.379";""
"HbA1C (mean (SD))";" 39.59 (7.90)";" 40.52 (9.40)";" 38.45 (5.50)";" 0.268";""
"LDL (mean (SD))";"  3.13 (0.88)";"  2.98 (0.98)";"  3.30 (0.73)";" 0.112";""
"Trig (median [IQR])";"  0.83 [0.55, 1.25]";"  0.63 [0.44, 1.01]";"  1.03 [0.79, 1.67]";" 0.001";"nonnorm"
"FramRisk (median [IQR])";"  6.50 [3.17, 11.70]";"  3.30 [2.00, 7.30]";"  9.40 [6.70, 15.60]";"<0.001";"nonnorm"
